ambito,cod_ambito,cod_ine_ambito,nombre_ambito,cod_sexo,nombre_sexo,cod_gedad,nombre_gedad,fecha_defuncion,defunciones_observadas,defunciones_observadas_lim_inf,defunciones_observadas_lim_sup,defunciones_esperadas,defunciones_esperadas_q01,defunciones_esperadas_q99
ccaa,CN,5,Canarias,all,todos,all,todos,2018-04-03,43,43,43,46.5,31.69,63.24
ccaa,CN,5,Canarias,all,todos,all,todos,2018-04-04,48,48,48,46.5,31.69,64.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-04-05,46,46,46,47,31.69,64.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-04-06,57,57,57,47,31.52,62.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-04-07,50,50,50,47,28.76,62.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-04-08,45,45,45,46.5,28.76,62.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-04-09,39,39,39,46,28.76,61.24
ccaa,CN,5,Canarias,all,todos,all,todos,2018-04-10,31,31,31,45,28.76,61.24
ccaa,CN,5,Canarias,all,todos,all,todos,2018-04-11,36,36,36,46,28.76,60.93
ccaa,CN,5,Canarias,all,todos,all,todos,2018-04-12,48,48,48,44.5,25.38,60.93
ccaa,CN,5,Canarias,all,todos,all,todos,2018-04-13,51,51,51,43.5,28.14,58.86
ccaa,CN,5,Canarias,all,todos,all,todos,2018-04-14,54,54,54,44,28.14,58.86
ccaa,CN,5,Canarias,all,todos,all,todos,2018-04-15,43,43,43,44,28.14,57.48
ccaa,CN,5,Canarias,all,todos,all,todos,2018-04-16,43,43,43,44,28.14,57.48
ccaa,CN,5,Canarias,all,todos,all,todos,2018-04-17,59,59,59,44,28.83,57.48
ccaa,CN,5,Canarias,all,todos,all,todos,2018-04-18,46,46,46,43,28.83,53.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-04-19,52,52,52,43,32.38,54
ccaa,CN,5,Canarias,all,todos,all,todos,2018-04-20,46,46,46,43.5,31.69,53.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-04-21,35,35,35,42,31,54.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-04-22,44,44,44,41,31,54.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-04-23,38,38,38,41.5,31,54.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-04-24,35,35,35,43,31,55.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-04-25,37,37,37,43,29.76,55.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-04-26,48,48,48,42,29.76,60.48
ccaa,CN,5,Canarias,all,todos,all,todos,2018-04-27,55,55,55,41,29.76,60.48
ccaa,CN,5,Canarias,all,todos,all,todos,2018-04-28,43,43,43,41.5,30.45,60.48
ccaa,CN,5,Canarias,all,todos,all,todos,2018-04-29,37,37,37,41,30.45,60.48
ccaa,CN,5,Canarias,all,todos,all,todos,2018-04-30,39,39,39,41.5,30.45,60.48
ccaa,CN,5,Canarias,all,todos,all,todos,2018-05-01,34,34,34,41,29.07,60.48
ccaa,CN,5,Canarias,all,todos,all,todos,2018-05-02,46,46,46,41,31.38,60.48
ccaa,CN,5,Canarias,all,todos,all,todos,2018-05-03,51,51,51,42,31.38,53.24
ccaa,CN,5,Canarias,all,todos,all,todos,2018-05-04,46,46,46,42,30.69,57.24
ccaa,CN,5,Canarias,all,todos,all,todos,2018-05-05,40,40,40,42,30.69,57.24
ccaa,CN,5,Canarias,all,todos,all,todos,2018-05-06,37,37,37,42.5,30.69,57.24
ccaa,CN,5,Canarias,all,todos,all,todos,2018-05-07,37,37,37,42,28.45,57.24
ccaa,CN,5,Canarias,all,todos,all,todos,2018-05-08,54,54,54,42,28.45,59.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-05-09,39,39,39,41,28.45,59.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-05-10,44,44,44,42,28.45,59.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-05-11,47,47,47,42,28.45,57.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-05-12,50,50,50,41.5,28.45,57.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-05-13,40,40,40,41.5,28.45,57.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-05-14,48,48,48,41.5,30,57.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-05-15,37,37,37,41.5,32.07,54.24
ccaa,CN,5,Canarias,all,todos,all,todos,2018-05-16,41,41,41,43,32.07,53.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-05-17,46,46,46,42,32.07,53.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-05-18,38,38,38,42,32.07,54.93
ccaa,CN,5,Canarias,all,todos,all,todos,2018-05-19,41,41,41,42.5,33.69,57.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-05-20,43,43,43,42,29.38,57.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-05-21,41,41,41,42,29.38,57.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-05-22,42,42,42,43,29.38,57.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-05-23,35,35,35,42,29.38,57.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-05-24,29,29,29,42,29.38,57.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-05-25,43,43,43,41.5,28.69,56.93
ccaa,CN,5,Canarias,all,todos,all,todos,2018-05-26,43,43,43,41.5,28.69,53.93
ccaa,CN,5,Canarias,all,todos,all,todos,2018-05-27,37,37,37,41.5,30.38,54.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-05-28,46,46,46,40,29.69,54.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-05-29,52,52,52,39,27.76,54.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-05-30,50,50,50,39,27.76,54.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-05-31,43,43,43,40,27.76,53.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-06-01,39,39,39,40.5,27.07,54.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-06-02,37,37,37,41,27.07,54.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-06-03,52,52,52,41,27.07,53.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-06-04,27,27,27,41,27.07,53.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-06-05,37,37,37,41,28.69,53.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-06-06,41,41,41,41,28.69,53.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-06-07,43,43,43,41,28.69,54.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-06-08,42,42,42,42,30.38,54.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-06-09,47,47,47,42,30.38,54.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-06-10,35,35,35,41.5,30.38,54.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-06-11,35,35,35,42,31.69,54.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-06-12,34,34,34,42,30.69,54.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-06-13,38,38,38,42,30.69,54.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-06-14,42,42,42,42,28.76,52.55
ccaa,CN,5,Canarias,all,todos,all,todos,2018-06-15,46,46,46,41,28.76,50.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-06-16,46,46,46,41.5,25.38,50.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-06-17,43,43,43,42,25.38,50.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-06-18,39,39,39,41.5,25.38,51
ccaa,CN,5,Canarias,all,todos,all,todos,2018-06-19,40,40,40,42,25.38,51
ccaa,CN,5,Canarias,all,todos,all,todos,2018-06-20,30,30,30,41,25.38,51
ccaa,CN,5,Canarias,all,todos,all,todos,2018-06-21,54,54,54,41.5,27.45,51.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-06-22,41,41,41,41,26.07,51.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-06-23,40,40,40,41,28.38,51.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-06-24,40,40,40,41,28.38,51.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-06-25,32,32,32,42,28.38,51.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-06-26,43,43,43,42,28.38,51.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-06-27,44,44,44,41.5,28.38,52
ccaa,CN,5,Canarias,all,todos,all,todos,2018-06-28,48,48,48,41,28.38,50.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-06-29,50,50,50,41,30.38,50.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-06-30,32,32,32,41.5,28.83,50.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-07-01,45,45,45,41,28.83,52
ccaa,CN,5,Canarias,all,todos,all,todos,2018-07-02,35,35,35,39,25.38,52
ccaa,CN,5,Canarias,all,todos,all,todos,2018-07-03,34,34,34,39,25.38,56.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-07-04,36,36,36,39.5,25.38,56.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-07-05,45,45,45,39,25.38,56.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-07-06,40,40,40,39,25.38,56.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-07-07,36,36,36,40,28.07,56.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-07-08,26,26,26,39.5,27.38,56.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-07-09,39,39,39,40,28.69,56.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-07-10,52,52,52,40,28.69,50.55
ccaa,CN,5,Canarias,all,todos,all,todos,2018-07-11,36,36,36,40,28.69,50.55
ccaa,CN,5,Canarias,all,todos,all,todos,2018-07-12,48,48,48,40,28.69,50.55
ccaa,CN,5,Canarias,all,todos,all,todos,2018-07-13,44,44,44,40,28.69,49.86
ccaa,CN,5,Canarias,all,todos,all,todos,2018-07-14,36,36,36,39,28.69,49.55
ccaa,CN,5,Canarias,all,todos,all,todos,2018-07-15,29,29,29,39,29.69,52.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-07-16,45,45,45,40,29.69,52.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-07-17,35,35,35,39,29,52.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-07-18,40,40,40,40,29,52.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-07-19,40,40,40,39,29,52.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-07-20,46,46,46,39.5,30.38,52.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-07-21,36,36,36,40,30.38,52
ccaa,CN,5,Canarias,all,todos,all,todos,2018-07-22,33,33,33,40,30.38,51.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-07-23,27,27,27,39.5,29.69,51.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-07-24,34,34,34,39,29.69,52.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-07-25,39,39,39,39,29.69,51.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-07-26,40,40,40,38,29.69,50.24
ccaa,CN,5,Canarias,all,todos,all,todos,2018-07-27,41,41,41,38,28.69,50.24
ccaa,CN,5,Canarias,all,todos,all,todos,2018-07-28,39,39,39,37.5,28,55.17
ccaa,CN,5,Canarias,all,todos,all,todos,2018-07-29,35,35,35,37,28,55.86
ccaa,CN,5,Canarias,all,todos,all,todos,2018-07-30,23,23,23,38,28,55.86
ccaa,CN,5,Canarias,all,todos,all,todos,2018-07-31,38,38,38,38,28,55.86
ccaa,CN,5,Canarias,all,todos,all,todos,2018-08-01,37,37,37,39,28,57.24
ccaa,CN,5,Canarias,all,todos,all,todos,2018-08-02,31,31,31,40,27.38,57.24
ccaa,CN,5,Canarias,all,todos,all,todos,2018-08-03,29,29,29,40,27.38,57.24
ccaa,CN,5,Canarias,all,todos,all,todos,2018-08-04,39,39,39,40,27.38,54.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-08-05,29,29,29,40,27.38,54.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-08-06,37,37,37,40,26.69,53.24
ccaa,CN,5,Canarias,all,todos,all,todos,2018-08-07,42,42,42,40,26.69,53.24
ccaa,CN,5,Canarias,all,todos,all,todos,2018-08-08,35,35,35,39,26.69,51.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-08-09,35,35,35,39,27.69,50.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-08-10,40,40,40,39.5,26.38,50.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-08-11,48,48,48,39,25,50.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-08-12,49,49,49,39,25,50
ccaa,CN,5,Canarias,all,todos,all,todos,2018-08-13,35,35,35,39,25,50
ccaa,CN,5,Canarias,all,todos,all,todos,2018-08-14,39,39,39,39,25,49.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-08-15,45,45,45,39,25,49
ccaa,CN,5,Canarias,all,todos,all,todos,2018-08-16,48,48,48,39,25,49
ccaa,CN,5,Canarias,all,todos,all,todos,2018-08-17,46,46,46,39,27.76,48.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-08-18,42,42,42,39,31,48.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-08-19,38,38,38,39,31,49.93
ccaa,CN,5,Canarias,all,todos,all,todos,2018-08-20,38,38,38,39,31,49.93
ccaa,CN,5,Canarias,all,todos,all,todos,2018-08-21,42,42,42,38.5,29.14,52.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-08-22,41,41,41,38.5,29.14,55.55
ccaa,CN,5,Canarias,all,todos,all,todos,2018-08-23,39,39,39,38,27.76,55.55
ccaa,CN,5,Canarias,all,todos,all,todos,2018-08-24,36,36,36,38.5,27.76,55.55
ccaa,CN,5,Canarias,all,todos,all,todos,2018-08-25,42,42,42,38,27.07,55.55
ccaa,CN,5,Canarias,all,todos,all,todos,2018-08-26,48,48,48,38.5,27.07,55.55
ccaa,CN,5,Canarias,all,todos,all,todos,2018-08-27,38,38,38,39,27.07,58.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-08-28,31,31,31,39,28.69,58.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-08-29,49,49,49,40,27.69,57.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-08-30,37,37,37,40,27.69,58.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-08-31,40,40,40,41,27.69,58.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-09-01,31,31,31,41,27,58.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-09-02,26,26,26,39.5,27,58.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-09-03,37,37,37,39,27,57.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-09-04,35,35,35,40,27,58.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-09-05,29,29,29,39.5,27.69,58.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-09-06,39,39,39,39.5,27.69,56.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-09-07,43,43,43,39,27.69,56.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-09-08,52,52,52,40,28,56.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-09-09,31,31,31,40,28,56.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-09-10,41,41,41,40,28,56.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-09-11,33,33,33,40,28,53.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-09-12,50,50,50,40,28,53.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-09-13,41,41,41,40,27.38,53.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-09-14,51,51,51,40,27.38,52.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-09-15,44,44,44,40,26.69,52.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-09-16,29,29,29,39,26.69,50.93
ccaa,CN,5,Canarias,all,todos,all,todos,2018-09-17,39,39,39,39,26.69,50
ccaa,CN,5,Canarias,all,todos,all,todos,2018-09-18,43,43,43,40,26.69,50
ccaa,CN,5,Canarias,all,todos,all,todos,2018-09-19,44,44,44,39,26.69,50
ccaa,CN,5,Canarias,all,todos,all,todos,2018-09-20,49,49,49,39,28.38,51.93
ccaa,CN,5,Canarias,all,todos,all,todos,2018-09-21,45,45,45,39,28.38,52.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-09-22,42,42,42,39.5,31.07,52.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-09-23,40,40,40,40,28.38,52.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-09-24,24,24,24,39,28.38,52.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-09-25,44,44,44,39,28.38,52.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-09-26,43,43,43,39,30.45,52.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-09-27,38,38,38,39,27.69,49.93
ccaa,CN,5,Canarias,all,todos,all,todos,2018-09-28,40,40,40,39,27.69,49.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-09-29,46,46,46,39.5,27.69,51.93
ccaa,CN,5,Canarias,all,todos,all,todos,2018-09-30,40,40,40,39.5,28.69,51.93
ccaa,CN,5,Canarias,all,todos,all,todos,2018-10-01,49,49,49,40,28.69,51.93
ccaa,CN,5,Canarias,all,todos,all,todos,2018-10-02,41,41,41,41,28.69,53.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-10-03,35,35,35,42,28.69,53.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-10-04,32,32,32,42,30.69,53.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-10-05,45,45,45,42,30,53.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-10-06,42,42,42,42,30,53
ccaa,CN,5,Canarias,all,todos,all,todos,2018-10-07,37,37,37,42,30.69,53.93
ccaa,CN,5,Canarias,all,todos,all,todos,2018-10-08,41,41,41,41.5,29.07,53.93
ccaa,CN,5,Canarias,all,todos,all,todos,2018-10-09,31,31,31,42,29.07,53.93
ccaa,CN,5,Canarias,all,todos,all,todos,2018-10-10,39,39,39,41.5,28.38,53.93
ccaa,CN,5,Canarias,all,todos,all,todos,2018-10-11,37,37,37,41,28.38,53.93
ccaa,CN,5,Canarias,all,todos,all,todos,2018-10-12,43,43,43,40.5,28.38,53.93
ccaa,CN,5,Canarias,all,todos,all,todos,2018-10-13,37,37,37,40,28.38,53.24
ccaa,CN,5,Canarias,all,todos,all,todos,2018-10-14,35,35,35,40,28.38,50.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-10-15,30,30,30,40,29,49.31
ccaa,CN,5,Canarias,all,todos,all,todos,2018-10-16,42,42,42,39,28.38,49
ccaa,CN,5,Canarias,all,todos,all,todos,2018-10-17,38,38,38,39,26.38,49.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-10-18,41,41,41,39.5,26.38,49.62
ccaa,CN,5,Canarias,all,todos,all,todos,2018-10-19,48,48,48,39.5,26.38,51.93
ccaa,CN,5,Canarias,all,todos,all,todos,2018-10-20,43,43,43,39,26.38,51.93
ccaa,CN,5,Canarias,all,todos,all,todos,2018-10-21,35,35,35,39,26.38,51.93
ccaa,CN,5,Canarias,all,todos,all,todos,2018-10-22,35,35,35,39,23.45,51.93
ccaa,CN,5,Canarias,all,todos,all,todos,2018-10-23,44,44,44,39,23.45,51.93
ccaa,CN,5,Canarias,all,todos,all,todos,2018-10-24,26,26,26,39,24.83,51.93
ccaa,CN,5,Canarias,all,todos,all,todos,2018-10-25,37,37,37,39,24.83,51.93
